comp_id,realty_broker_id
108281,3744
108282,2783
108284,3707
108285,3746
108288,3748
108291,3655
108292,3085
108294,3750
108295,3683
108296,3752
108297,3636
108298,3629
108300,2986
108301,3753
108302,3208
108303,3755
108304,3627
108306,3757
108308,3217
108309,3358
108310,3758
108311,3633
108312,3212
108314,3687
108315,3687
108316,3633
108317,3217
108318,3759
108319,3220
108321,3638
108322,3638
108323,3588
108325,3687
108326,2976
108327,3210
108328,3630
108329,3762
108330,3358
108333,3211
108334,3208
108335,3764
108337,3613
108339,3710
108340,3658
106389,3093
106253,3749
105259,3745
108344,2978
108345,3217
108346,3637
108366,3714
108368,3153
108369,3708
108371,3714
108372,3326
108373,3517
108374,3767
108375,3183
108376,3345
108377,2807
108378,3740
108379,3517
108380,3089
108382,3771
108383,3772
108385,3770
108386,3655
108387,3326
108389,3404
108390,3655
108393,3778
108394,3220
108395,2986
108396,3630
108398,2978
108399,3638
108400,3637
108401,3780
108403,3633
108404,2978
108405,3629
108407,3679
108409,3209
106266,3745
103205,3345
108410,3769
108411,3738
105311,3776
108414,3221
108415,3166
108417,3781
108421,2626
108421,355
108427,3788
108428,2824
108430,3258
108431,3786
108435,2803
108436,3791
108437,2803
108438,3792
108446,3070
108448,3710
108450,3667
108451,3797
102374,3793
108458,3193
108461,3800
108462,3802
108463,3213
108464,2780
108467,3237
108472,3809
108474,3812
103569,3798
103080,2805
108491,3237
108493,2780
108494,3258
108496,2770
106416,2780
102946,3816
106429,3237
104032,2755
108504,2780
108505,3819
108511,3824
108520,3828
108524,3154
108532,3392
108536,3180
103106,3816
102957,3798
108537,2825
108542,2780
108546,3835
104021,3791
108549,3838
106426,2770
108551,3840
108553,3841
103337,2755
102943,3097
103052,2755
104729,3710
108603,3857
108606,2807
108608,3862
106432,3864
103131,3829
108618,3829
103064,3865
104510,3866
104047,3866
106408,3237
108623,3872
108639,3835
108640,3880
108641,3881
106417,2777
108645,3235
108646,3501
108673,2890
108674,2890
108676,2890
108677,2890
10596,2687
108635,2788
108636,3891
107110,3893
107563,3894
101492,3895
101492,2363
108739,1598
108740,3897
107118,1326
108711,3901
108678,3902
108070,3904
108070,3905
107077,3926
108767,1950
108767,3935
108754,1728
108754,3937
101603,2361
10796,2455
14795,201
11926,2669
108771,145
101675,1581
2805,1329
108855,1616
108860,3939
108862,3789
108863,3258
108864,2780
108866,3694
108867,3942
108868,2762
108869,2761
108870,3836
108873,2596
108874,2780
108875,3578
108878,2788
108885,3943
108889,3452
108889,3954
108898,3947
109238,4023
109244,4027
109245,17293
109246,17460
109253,4035
109260,4052
109261,4054
109263,4061
109265,4067
109267,4072
109269,4074
109271,4077
109273,4009
109274,5826
109276,4014
109278,4017
109282,4021
109283,4025
109284,4026
108971,4032
109287,16467
109288,4034
109289,4035
109290,4039
109349,4041
109364,4043
108942,4044
108934,4045
109371,4091
109377,4048
109380,4101
109387,4087
109388,4089
109392,4093
109322,4095
109393,4096
109446,4109
109448,4112
109451,4119
109456,4130
109457,4131
109458,4134
109459,4117
109461,4137
109462,4138
109463,4140
109464,4142
109465,4144
109466,4146
109468,4149
109470,4151
109476,4159
109477,4161
109478,4138
109479,4162
109481,4166
109482,4168
109484,4171
109487,4175
109488,4176
109489,4178
109490,4180
109491,4182
109492,4183
109493,4185
109494,4131
109495,4187
109496,4188
109497,3220
109498,4117
109499,4117
109500,4152
109501,4191
109502,4146
109504,4176
109508,4201
109509,4152
109510,4138
109513,4206
109515,4207
109517,4117
109519,4211
109521,4212
109524,4218
109525,4220
109526,4222
109528,4224
109529,4117
109530,4123
109532,4126
109534,4131
109537,4198
109539,4050
109541,4026
109542,4056
109546,4058
109547,4059
109552,4065
109553,4068
108945,4070
109555,4075
109558,4078
109603,4078
109609,4256
109613,4265
109618,4270
109621,4272
109632,4100
109633,4286
109635,4290
109637,4292
109638,4294
109641,4291
109648,4269
109649,4301
109652,4299
109654,4305
109660,4313
109661,4315
109664,4318
109666,4321
109668,4324
109672,4329
109675,4089
109677,4335
109679,4305
109681,4339
109686,17900
109696,4356
109697,4359
109703,17217
109710,4373
109711,4374
109713,4376
109725,4298
109727,4029
109733,4007
109736,4061
109741,4333
109744,4281
109745,4343
109747,4327
109749,4305
109257,17849
109753,4357
109755,4360
109756,4367
109757,4367
109760,4377
109761,4020
108954,4226
108924,4227
109770,4229
109772,4011
108909,4231
109779,4232
109788,4237
109789,4238
109791,4239
109794,4018
109795,4077
109796,4242
109797,4244
109798,4245
109799,4246
109800,4248
109803,4077
109804,4250
108989,4008
109807,3061
109808,3061
109809,4039
109810,4251
108984,4252
109813,1343
108988,4077
109817,4254
109820,4070
109821,4255
108994,4258
109822,4243
109823,4058
109825,4068
109826,4259
109828,4293
109831,4088
109832,4294
109835,4335
109836,4393
109843,4405
109844,4380
109846,4408
109851,4324
109855,4414
109863,13089
109864,4611
109867,4299
109875,4048
109877,4017
109881,4325
109884,4040
109885,4448
109887,4011
109888,16971
109897,4896
109898,4382
109904,4271
109270,3061
109909,4397
109919,4294
109920,4409
109921,4054
109924,4054
109926,4418
109930,4421
109931,4039
109935,4426
109936,4430
109944,17656
109946,4276
109947,4434
109949,4418
109950,4100
109953,4438
109955,4065
109959,4240
109962,4298
109890,4455
109971,18977
108911,4260
109976,4008
109977,4061
109014,4044
109978,4262
109979,4073
109980,4263
109981,4245
109982,4264
109985,4267
109987,3738
109990,4258
109992,4268
